"","knr","aar","knavn","pm2","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"502","0428","2009","Trysil",8369,58.0268534734384,53.6262413481794,55.8601274262854,25.2,10.8,13.3,10.4,16.1,2.2,3.1,1.4,85010
"503","0428","2010","Trysil",10985,57.7349678925861,54.0005993407252,55.8923554635517,25.5,11,13.9,10.9,16.9,2.2,2.9,1.5,85995
"504","0428","2011","Trysil",10735,56.9221801224133,54.9804393620223,55.9668344684631,26.4,9.8,14.3,10.8,17.7,2.4,3.2,1.6,85025
"505","0428","2012","Trysil",9953,56.8633177570093,55.0480769230769,55.9686018957346,26.2,9.4,14.7,11.2,18.3,2.4,3,1.7,86265
"506","0428","2013","Trysil",11373,57.0457902511078,54.5399515738499,55.8080430557632,27,9.1,15,11.2,18.8,2.5,3.2,1.8,85271
"507","0428","2014","Trysil",9581,56.7164179104478,54.8150412717823,55.7770729497055,27.3,8.8,15.4,11.6,19.3,2.9,3.5,2.2,91338
"508","0428","2015","Trysil",12167,56.3956963538553,54.5454545454545,55.4878977013244,27.4,9.8,15.6,11.7,19.6,3.3,4,2.5,92185
"509","0428","2016","Trysil",11913,56.0396634615385,54.3009071004066,55.1877394636015,26.2,10.4,16.3,12.2,20.6,3.5,4.1,2.8,97417
"510","0428","2017","Trysil",11472,56.1676646706587,55.0155763239875,55.6030534351145,25.4,11.1,17.1,12.9,21.5,3.6,4.3,2.9,100231
"511","0429","2008","Åmot",7465,59.3466424682396,55.2470588235294,57.3342573342573,28.5,11.3,15.4,12.4,18.5,3.2,4.1,2.3,55301
"512","0429","2009","Åmot",7928,58.9186691312384,55.2930056710775,57.1261682242991,28.1,11.9,15.4,12.1,18.8,3,3.8,2.2,58007
"513","0429","2010","Åmot",8203,58.5377140212864,55.0376647834275,56.8028004667445,27.8,11.5,15.8,12.2,19.4,2.9,3.5,2.3,59078
"514","0429","2011","Åmot",8327,58.9895311788803,55.5188679245283,57.2851517257355,27.1,11.6,16.2,12.7,19.9,3.3,3.9,2.6,60810
"515","0429","2012","Åmot",7520,58.7073608617594,55.9981033665244,57.3899008531243,25.8,11.2,16.7,12.1,21.5,3.2,3.7,2.7,62926
"516","0429","2013","Åmot",8421,59.4666666666667,55.8259241927936,57.6931844084796,24.7,11.3,17.5,12.9,22.3,3.3,3.8,2.7,66327
"517","0429","2014","Åmot",9492,58.6312118570183,55.9463211476168,57.3288439955107,24.6,11.6,17.7,13.4,22.2,3.7,3.9,3.5,65157
"518","0429","2015","Åmot",10025,58.514335360556,54.7818012999072,56.7100538599641,24.5,11.9,18,13.5,22.8,3.5,3.6,3.3,66930
"519","0429","2016","Åmot",10494,59.7027972027972,55.3012610929472,57.5750733799955,25.4,11.6,19.3,14.6,24.3,3.4,3.4,3.3,70140
"520","0429","2017","Åmot",11725,59.8462195642888,55.5810748736794,57.7910579902612,26.2,11.5,19.1,14,24.7,3.6,3.7,3.4,68516
"521","0437","2008","Tynset",8176,57.7039274924471,54.6148255813954,56.1296296296296,20.7,14.9,18.8,13.1,24.4,4.2,5.8,2.7,106001
"522","0437","2009","Tynset",9361,56.8096313017306,54.9598832968636,55.8703703703704,21.1,14.4,19.3,13.2,25.1,4.4,6,3,110136
"523","0437","2010","Tynset",9158,57.2277963582311,55.2340121471954,56.2112932604736,20.9,15.4,19.3,13,25.4,4.6,6,3.4,110420
"524","0437","2011","Tynset",9882,57.4169741697417,55.1885098743268,56.287534121929,22,14.5,20.2,13.9,26.2,4.7,5.7,3.8,114067
"525","0437","2012","Tynset",9351,57.4329224075417,55.0249465431219,56.2185478073329,21.5,14.3,20.7,14.3,26.8,5.1,6,4.3,113071
"526","0437","2013","Tynset",10524,57.4909090909091,55.1418439716312,56.3016157989228,21.5,14.8,21.2,14.5,27.7,5.3,6.3,4.3,113757
"527","0437","2014","Tynset",9138,57.2155579789168,54.9320943531094,56.0641557037304,21.6,14.3,21.9,15.3,28.5,5.8,6.8,4.8,114149
"528","0437","2015","Tynset",10770,57.075642417662,54.8052876027153,55.933117583603,21.5,15.1,21.7,14.9,28.5,5.7,6.5,4.8,110208
"529","0437","2016","Tynset",12872,56.5813198701767,54.5422158888493,55.5555555555556,21.7,15.1,22.2,15.3,28.9,5.8,6.3,5.3,111948
"530","0437","2017","Tynset",12041,57.0140641904075,54.9270722162931,55.9634670487106,22.2,16.2,22.7,15.7,29.4,6.1,6.6,5.7,111956
"531","0501","2008","Lillehammer",16226,58.9258638576331,57.9539448848622,58.4264432029795,22.5,16.9,25.9,21.1,30.2,7.4,10.4,4.6,91182
"532","0501","2009","Lillehammer",16803,58.8898525585429,57.9986588182699,58.4316579834508,22,17.2,26.2,21.4,30.5,7.7,10.6,5,92385
"533","0501","2010","Lillehammer",17337,59.08026233604,58.1669490901054,58.6103635191994,21.9,17.3,26.8,22,31.2,8,10.8,5.5,93722
"534","0501","2011","Lillehammer",19514,59.1304347826087,57.9869987583084,58.5412667946257,21.5,17.3,27.3,22.5,31.7,8.3,11,5.9,96398
"535","0501","2012","Lillehammer",21045,59.0222971419815,57.7366195129065,58.3635344666542,21.9,17.3,27.6,22.8,31.9,8.6,11.2,6.1,97735
"536","0501","2013","Lillehammer",21283,58.9258351210542,57.5590665313814,58.2234636871508,20.4,17.9,28.1,23.1,32.7,8.9,11.4,6.7,98806
"537","0501","2014","Lillehammer",21105,59.0926362185576,58.0142764438676,58.5392925854669,20.9,17.9,28.3,23.2,33.1,9.5,11.8,7.3,104326
"538","0501","2015","Lillehammer",21887,59.2964824120603,57.7289324837116,58.4945054945055,20.3,18.4,28.7,23.6,33.5,9.7,11.9,7.6,106740
"539","0501","2016","Lillehammer",23414,59.291837495341,57.8266126164569,58.5420002911632,20.5,18.8,29.2,24,34.1,10,12,8.2,109552
"540","0501","2017","Lillehammer",25712,59.3950571744744,57.9713201180936,58.6659947446096,20.6,19.1,29.5,24.4,34.2,10.5,12.3,8.8,110806
"541","0502","2008","Gjøvik",12599,60.8410743861165,57.8673511863466,59.3265255644677,22.8,14.5,19.5,16.2,22.6,4.2,5.6,3,81033
"542","0502","2009","Gjøvik",13329,60.8871827681808,57.7557755775578,59.2953759043724,23,14.4,19.9,16.3,23.3,4.5,5.8,3.2,82650
"543","0502","2010","Gjøvik",13739,60.3655536028119,57.8315731724043,59.0828618044225,23.3,14.7,20.4,16.6,23.9,4.7,5.9,3.5,84169
"544","0502","2011","Gjøvik",14819,60.0938638274026,57.7629609470676,58.9114378408228,23.2,14.6,20.7,17,24.3,4.9,6,3.9,85469
"545","0502","2012","Gjøvik",15021,60.4210087536474,57.4486763911399,58.9137730292446,23.3,14.2,21.2,17.3,24.9,5.1,6.1,4.1,88405
"546","0502","2013","Gjøvik",15485,60.2399725745629,57.5833220887869,58.9009419525963,23.7,14.2,21.7,17.6,25.6,5.3,6.3,4.3,90447
"547","0502","2014","Gjøvik",16428,59.8290018321232,57.8326970732034,58.8243225023595,23.2,14.7,22.3,18.2,26.3,5.8,6.8,4.9,94848
"548","0502","2015","Gjøvik",17747,59.8370508882062,57.6048777254954,58.7166949406247,23,15.1,22.8,18.6,26.9,6,6.9,5.2,95303
"549","0502","2016","Gjøvik",19521,59.5089581950896,57.2509457755359,58.380064372698,22.9,16,23.2,18.8,27.5,6.4,7.1,5.7,97039
"550","0502","2017","Gjøvik",20323,59.3715000988207,57.0541611624835,58.2143210528052,22.7,15.9,23.5,19.3,27.6,6.4,7,5.8,97574
"551","0516","2008","Nord-Fron",8246,58.1331503088538,57.2073636679403,57.6730536854825,23.9,14.5,13.8,10.1,17.5,2.2,2.9,1.4,77429
